LCID	Locale	Mon Jan	Tue Feb	Wed Mar	Thu Apr	Fri May	Sat Jun	Sun Jul	Mon Aug	Tue Sep	Wed Oct	Thu Nov	Fri Dec
0x46E	lb-LU	Méindeg,Méi,Januar,Jan,J	Dënschdeg,Dën,Februar,Feb,F	Mëttwoch,Mët,Mäerz,Mäe,M	Donneschdeg,Don,Abrëll,Abr,A	Freideg,Fre,Mee,Mee,M	Samschdeg,Sam,Juni,Jun,J	Sonndeg,Son,Juli,Jul,J	Méindeg,Méi,August,Aug,A	Dënschdeg,Dën,September,Sep,S	Mëttwoch,Mët,Oktober,Okt,O	Donneschdeg,Don,November,Nov,N	Freideg,Fre,Dezember,Dez,D
0x46F	kl-GL	ataasinngorneq,ata,januari,jan,j	marlunngorneq,mar,februari,feb,f	pingasunngorneq,ping,martsi,mar,m	sisamanngorneq,sis,apriili,apr,a	tallimanngorneq,tal,maaji,mai,m	arfininngorneq,arf,juni,jun,j	sapaat,sap,juli,jul,j	ataasinngorneq,ata,aggusti,aug,a	marlunngorneq,mar,septembari,sep,s	pingasunngorneq,ping,oktobari,okt,o	sisamanngorneq,sis,novembari,nov,n	tallimanngorneq,tal,decembari,dec,d
0x470	ig-NG	Aje,Aje,Onwa mbu,mbu.,O	Isegun,Ise,Onwa ibua,ibu.,O	Ojo'ru,Ojo,Onwa ato,ato.,O	Ojo'bo,Ojo,Onwa ano,ano.,O	Eti,Eti,Onwa ise,ise,O	Abameta,Aba,Onwa isi,isi,O	Aiku,Aik,Onwa asa,asa,O	Aje,Aje,Onwa asato,asa.,O	Isegun,Ise,Onwa itolu,ito.,O	Ojo'ru,Ojo,Onwa iri,iri.,O	Ojo'bo,Ojo,Onwa iri n'ofu,n'of.,O	Eti,Eti,Onwa iri n'ibua,n'ib.,O
0x472	om-ET	Wiixata,Wix,Amajjii,Ama,A	Qibxata,Qib,Guraandhala,Gur,G	Roobii,Rob,Bitooteessa,Bit,B	Kamiisa,Kam,Elba,Elb,E	Jimaata,Kim,Caamsa,Cam,C	Sanbata,San,Waxabajjii,Wax,W	Dilbata,Dil,Adooleessa,Ado,A	Wiixata,Wix,Hagayya,Hag,H	Qibxata,Qib,Fuulbana,Ful,F	Roobii,Rob,Onkololeessa,Onk,O	Kamiisa,Kam,Sadaasa,Sad,S	Jimaata,Kim,Muddee,Mud,M
0x473	ti-ET	ሰኑይ,ሰኑይ,ጥሪ,ጥሪ,ጥ	ሰሉስ,ሰሉስ,ለካቲት,ለካቲት,ለ	ሮቡዕ,ሮቡዕ,መጋቢት,መጋቢት,መ	ሓሙስ,ሓሙስ,ሚያዝያ,ሚያዝያ,ሚ	ዓርቢ,ዓርቢ,ጉንበት,ጉንበት,ጉ	ቀዳም,ቀዳም,ሰነ,ሰነ,ሰ	ሰንበት,ሰንበት,ሓምለ,ሓምለ,ሓ	ሰኑይ,ሰኑይ,ነሓሰ,ነሓሰ,ነ	ሰሉስ,ሰሉስ,መስከረም,መስከረም,መ	ሮቡዕ,ሮቡዕ,ጥቅምቲ,ጥቅምቲ,ጥ	ሓሙስ,ሓሙስ,ሕዳር,ሕዳር,ሕ	ዓርቢ,ዓርቢ,ታሕሳስ,ታሕሳስ,ታ
0x474	gn-PY	arakôi,arakôi,jasyteî,jasyteî,j	araapy,araapy,jasykôi,jasykôi,j	ararundy,ararundy,jasyapy,jasyapy,j	arapo,arapo,jasyrundy,jasyrundy,j	arapoteî,arapoteî,jasypo,jasypo,j	arapokôi,arapokôi,jasypoteî,jasypoteî,j	arateî,arateî,jasypokôi,jasypokôi,j	arakôi,arakôi,jasypoapy,jasypoapy,j	araapy,araapy,jasyporundy,jasyporundy,j	ararundy,ararundy,jasypa,jasypa,j	arapo,arapo,jasypateî,jasypateî,j	arapoteî,arapoteî,jasypakôi,jasypakôi,j
0x475	haw-US	Monday,Mon,January,Jan,J	Tuesday,Tue,February,Feb,F	Wednesday,Wed,March,Mar,M	Thursday,Thu,April,Apr,A	Friday,Fri,May,May,M	Saturday,Sat,June,Jun,J	Sunday,Sun,July,Jul,J	Monday,Mon,August,Aug,A	Tuesday,Tue,September,Sep,S	Wednesday,Wed,October,Oct,O	Thursday,Thu,November,Nov,N	Friday,Fri,December,Dec,D
0x477	so-SO	Isniin,Isniin,Bisha Koobaad,Kob,B	Salaaso,Salaaso,Bisha Labaad,Lab,B	Arbaco,Arbaco,Bisha Saddexaad,Sad,B	Khamiis,Khamiis,Bisha Afraad,Afr,B	Jimco,Jimco,Bisha Shanaad,Sha,B	Sabti,Sabti,Bisha Lixaad,Lix,B	Axad,Axad,Bisha Todobaad,Tod,B	Isniin,Isniin,Bisha Sideedaad,Sid,B	Salaaso,Salaaso,Bisha Sagaalaad,Sag,B	Arbaco,Arbaco,Bisha Tobnaad,Tob,B	Khamiis,Khamiis,Bisha Kow iyo Tobnaad,KIT,B	Jimco,Jimco,Bisha Laba iyo Tobnaad,LIT,B
0x478	ii-CN	ꆏꊂ꒔,ꆏ꒔,ꋍꆪ,ꋍꆪ,ꋍ	ꆏꊂꑍ,ꆏꑍ,ꑍꆪ,ꑍꆪ,ꑍ	ꆏꊂꌕ,ꆏꌕ,ꌕꆪ,ꌕꆪ,ꌕ	ꆏꊂꇖ,ꆏꇖ,ꇖꆪ,ꇖꆪ,ꇖ	ꆏꊂꉬ,ꆏꉬ,ꉬꆪ,ꉬꆪ,ꉬ	ꆏꊂꃘ,ꆏꃘ,ꃘꆪ,ꃘꆪ,ꃘ	ꑭꆏꑍ,ꑭꆏ,ꏃꆪ,ꏃꆪ,ꏃ	ꆏꊂ꒔,ꆏ꒔,ꉆꆪ,ꉆꆪ,ꉆ	ꆏꊂꑍ,ꆏꑍ,ꈬꆪ,ꈬꆪ,ꈬ	ꆏꊂꌕ,ꆏꌕ,ꊰꆪ,ꊰꆪ,ꊰ	ꆏꊂꇖ,ꆏꇖ,ꊯꊪꆪ,ꊯꊪꆪ,ꊯ	ꆏꊂꉬ,ꆏꉬ,ꊰꑋꆪ,ꊰꑋꆪ,ꊰ
0x47A	arn-CL	lunes,lun,enero,ene,e	martes,mar,febrero,feb,f	miércoles,mié,marzo,mar,m	jueves,jue,abril,abr,a	viernes,vie,mayo,may,m	sábado,sáb,junio,jun,j	domingo,dom,julio,jul,j	lunes,lun,agosto,ago,a	martes,mar,septiembre,sep,s	miércoles,mié,octubre,oct,o	jueves,jue,noviembre,nov,n	viernes,vie,diciembre,dic,d
