lcid	locale	int_curr_symbol	currency_symbol	mon_decimal_point	mon_thousands_sep	mon_grouping	positive_sign	negative_sign	int_frac_digits	frac_digits	p_cs_precedes	p_sep_by_space	n_cs_precedes	n_sep_by_space	p_sign_posn	n_sign_posn	decimal_point	thousands_sep	grouping
0x004A	te	INR	₹	.	,	[3, 2, 0]		-	2	2	1	0	1	1	4	4	.	,	[3, 2, 0]
0x004B	kn	INR	₹	.	,	[3, 2, 0]		-	2	2	1	0	1	1	4	4	.	,	[3, 0]
0x004C	ml	INR	₹	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 2, 0]
0x004D	as	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	4	4	.	,	[3, 2, 0]
0x004E	mr	INR	₹	`	,	[3, 2, 0]		-	2	2	1	0	1	1	4	4	.	,	[3, 2, 0]
0x004F	sa	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	4	4	.	,	[3, 2, 0]
0x0050	mn	MNT	?	.	,	[3, 0]		-	0	0	1	1	1	1	3	3	.	,	[3, 0]
0x0051	bo	CNY	¥	.	,	[3, 0]		-	2	2	1	0	1	0	4	4	.	,	[3, 0]
0x0052	cy	GBP	£	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0053	km	KHR	៛	.	,	[3, 0]		-	2	2	0	0	0	0	1	1	.	,	[3, 0]
0x0054	lo	LAK	₭	,	.	[3, 0]		-	0	0	1	0	1	0	4	4	,	.	[3, 0]
0x0055	my	MMK	K	.	,	[3, 0]		-	0	0	0	1	0	1	1	1	.	,	[3, 0]
0x0056	gl	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0057	kok	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	4	4	.	,	[3, 2, 0]
0x0059	sd	PKR	Rs	.	,	[3, 0]		-	2	2	1	1	1	1	3	3	.	,	[3, 0]
0x005A	syr	SYP	ܠ.ܣ.‏	.	,	[3, 0]		-	2	2	0	1	0	1	1	1	.	,	[3, 0]
0x005B	si	LKR	රු.	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x005C	chr	USD	$	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x005D	iu	CAD	$	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x005E	am	ETB	ብር	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x005F	tzm	MAD	ⴷⵔ	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
